,feature_names,human_readable
75,eye_closure__median_IED,Median (over saccades) of blink durations from maximum closing to maximum opening velocity~\cite{wilkinson2013the}
76,fixation_texas_skew_AccProfMn_R,Skewness (over fixations) of means of acceleration~\cite{rigas2018study}
77,fixation_texas_std_VelProfSk_V,Standard deviation (over fixations) skewness values of vertical velocity~\cite{rigas2018study}
78,eye_closure__std_blink_duration,Standard deviation (over eye closures) blink durations from start to maximum reopening velocity~\cite{Schleicher2008}
79,eye_closure__mean_IED,Mean (over eye closures) of blink durations from maximum closing to maximum opening velocity~\cite{wilkinson2013the}
80,eye_closure_LC,Percentage of time with eyes closed~\cite{wilkinson2013the}
81,fixation_texas_mean_PosCentroid_H,Mean (over fixations) of horizontal position~\cite{rigas2018study}
82,saccade_texas_median_peak_vel_v,Median (over saccades) of vertical peak velocities during saccades ~\cite{rigas2018study}
83,saccade_texas_mean_centroid_v,Mean (over fixations) of vertical saccade postions~\cite{rigas2018study}
84,count_eye_states_1,"Time steps with eye state “cosed""~Asaphus Vision"
85,saccade_texas_std_amp_v,Standard deviation (over saccades) vertical amplitude~\cite{rigas2018study}
86,count_saccades,Number of saccadees (count)
87,count_corrupt,Time steps with no eye tracking signal
88,saccade_texas_mean_amp_r,Mean (over fixations) amplitude~\cite{rigas2018study}
89,saccade__median_standard_saccadic_velocity_max,Median (over saccades) of standardized maxmimum velocities during saccades ~\cite{rigas2018study}
90,fixation_texas_median_PosCentroid_V,Median (over fixations) vertical postions~\cite{rigas2018study}
91,saccade_texas_mean_vel_profile_median_v,Mean (over saccades) of medians of velocities for vertical saccades ~\cite{rigas2018study}
92,eye_closure__median_BTD,Median (over eye closures) of blink duration from maximum closing to maximum opening velocity~\cite{wilkinson2013the}
93,eye_closure__skew_delay_reopening,Skewness  (over eye closures)  of delay between full closure and onset of reopening~\cite{Schleicher2008}
94,eye_closure__skew_+AVR,Skewness  (over eye closures)  of ratio of the maximum amplitude to maximum velocity of eyelid movement for the closing phase~\cite{wilkinson2013the}
95,eye_closure__kurtosis_+AVR,Kurtosis  (over eye closures)  of ratio of the maximum amplitude to maximum velocity of eyelid movement for the closing phase~\cite{wilkinson2013the}
96,eye_closure__median_standard_lid_reopening_durations,Median  (over eye closures)  of mean closure velocities during blink normalized by expected velocity~\cite{Schleicher2008}
97,eye_closure__skew_standard_lid_reopening_durations,Skewness  (over eye closures)  of mean closure velocities during blink normalized by expected velocity~\cite{Schleicher2008}
98,fixation_texas_skew_PosCentroid_V,Skewness (over fixations) of vertical positions~\cite{rigas2018study}
99,eye_closure__std_standard_closure_speed_max,Standard deviation (over eye closures) maximal closure velocities during blink normalized by expected velocity~\cite{Schleicher2008}
100,eye_closure__std_blink_intervals,Standard deviation (over eye closures) time interval between two adjacent blinks~\cite{Schleicher2008}
101,eye_closure__mean_blink_intervals,Mean (over eye closures) of time interval between two adjacent blinks~\cite{Schleicher2008}
102,saccade__std_saccadic_amplitude_mean,Standard deviation (over saccades) mean amplitudes during saccades~\cite{rigas2018study}
103,eye_closure__std_-AVR,Standard deviation (over eye closures) ratio of the maximum amplitude to maximum velocity of eyelid movement for the reopening phase~\cite{wilkinson2013the}
104,eye_closure__mean_standard_closure_speed_mean,Mean (over fixations) of mean closure velocities during blinks normalized by expected velocity~\cite{Schleicher2008}
